Statistical profiling result from infoConsoleProf.log, (14175 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     71  100.0%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
     71  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
    399    6.0%      LazyCompile: ~memoryUsage node:internal/process/per_thread:165:23
    399  100.0%        LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/src/server.js:194:42
    336   84.2%          LazyCompile: ~handle /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/layer.js:86:49
    336  100.0%            LazyCompile: ~next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/route.js:114:16
     63   15.8%          LazyCompile: *handle /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/layer.js:86:49
     63  100.0%            LazyCompile: ~next /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express/lib/router/route.js:114:16
    389    5.8%      LazyCompile: ~close node:internal/fs/read_file_context:111:8
    389  100.0%        LazyCompile: ~readFileAfterRead node:internal/fs/read_file_context:25:27
    334    5.0%      LazyCompile: ~readFileAfterOpen node:fs:307:27
    243    3.6%      /home/develop/.nvm/versions/node/v16.6.0/bin/node
     19    7.8%        /home/develop/.nvm/versions/node/v16.6.0/bin/node
      9   47.4%          LazyCompile: *Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
      6   66.7%            LazyCompile: *Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      3   33.3%            LazyCompile: ~Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      3   15.8%          LazyCompile: ~Glob._processReaddir2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:373:44
      3  100.0%            LazyCompile: ~<anonymous> /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:368:43
      2   10.5%          LazyCompile: ~set /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/session/memory.js:119:41
      2  100.0%            LazyCompile: ~save /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/express-session/session/session.js:71:54
      2   10.5%          LazyCompile: ~checkInvalidHeaderChar node:_http_common:232:32
      2  100.0%            LazyCompile: ~<anonymous> node:_http_outgoing:561:45
      2   10.5%          LazyCompile: ~Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
      2  100.0%            LazyCompile: ~Glob._processGlobStar2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:629:45
      1    5.3%          /home/develop/.nvm/versions/node/v16.6.0/bin/node
      1  100.0%            LazyCompile: ~Glob._processReaddir2 /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:373:44
     16    6.6%        LazyCompile: *Glob._process /home/develop/Documents/coderhouse/backend/proyect/clase13-tarea/node_modules/glob/glob.js:296:36
